date,nepse_index
08/09/2022,"1,937.74"
07/09/2022,"1,939.88"
06/09/2022,"1,951.79"
05/09/2022,"1,973.01"
04/09/2022,"1,977.30"
02/09/2022,"1,970.62"
31/08/2022,"1,973.38"
30/08/2022,"1,995.21"
29/08/2022,"1,993.02"
28/08/2022,"1,989.26"
26/08/2022,"2,022.62"
25/08/2022,"2,039.54"
24/08/2022,"2,057.85"
23/08/2022,"2,054.95"
22/08/2022,"2,053.16"
21/08/2022,"2,060.55"
18/08/2022,"2,068.26"
17/08/2022,"2,040.70"
16/08/2022,"2,041.06"
15/08/2022,"2,065.89"
14/08/2022,"2,010.01"
11/08/2022,"2,037.92"
10/08/2022,"2,057.68"
09/08/2022,"2,060.73"
08/08/2022,"2,106.15"
07/08/2022,"2,123.82"
05/08/2022,"2,113.55"
04/08/2022,"2,148.16"
03/08/2022,"2,186.76"
02/08/2022,"2,193.48"
01/08/2022,"2,196.25"
31/07/2022,"2,195.10"
29/07/2022,"2,140.52"
28/07/2022,"2,127.47"
27/07/2022,"2,111.99"
26/07/2022,"2,088.16"
25/07/2022,"2,132.96"
24/07/2022,"2,078.51"
22/07/2022,"2,017.46"
21/07/2022,"2,044.72"
20/07/2022,"2,050.59"
19/07/2022,"2,045.69"
18/07/2022,"2,029.43"
17/07/2022,"2,011.39"
15/07/2022,"2,009.46"
14/07/2022,"2,001.53"
13/07/2022,"1,986.82"
12/07/2022,"1,927.28"
11/07/2022,"1,915.61"
08/07/2022,"1,992.62"
07/07/2022,"2,027.32"
06/07/2022,"2,043.92"
05/07/2022,"2,030.59"
04/07/2022,"2,076.67"
03/07/2022,"2,086.38"
01/07/2022,"2,028.77"
30/06/2022,"2,037.64"
29/06/2022,"1,962.71"
28/06/2022,"1,921.31"
27/06/2022,"1,933.13"
26/06/2022,"1,956.98"
24/06/2022,"1,862.06"
23/06/2022,"1,848.28"
22/06/2022,"1,893.53"
21/06/2022,"1,922.30"
20/06/2022,"1,884.81"
19/06/2022,"1,934.11"
17/06/2022,"1,971.38"
16/06/2022,"1,978.94"
15/06/2022,"1,966.37"
14/06/2022,"1,996.26"
13/06/2022,"2,032.34"
10/06/2022,"2,048.16"
09/06/2022,"2,062.86"
08/06/2022,"2,080.44"
07/06/2022,"2,020.23"
06/06/2022,"2,065.78"
03/06/2022,"2,078.70"
02/06/2022,"2,112.47"
01/06/2022,"2,130.71"
31/05/2022,"2,137.92"
30/05/2022,"2,178.69"
27/05/2022,"2,223.78"
26/05/2022,"2,239.60"
25/05/2022,"2,231.57"
24/05/2022,"2,217.19"
23/05/2022,"2,200.88"
20/05/2022,"2,235.09"
19/05/2022,"2,250.91"
18/05/2022,"2,274.42"
17/05/2022,"2,265.52"
12/05/2022,"2,350.42"
11/05/2022,"2,369.06"
10/05/2022,"2,313.00"
09/05/2022,"2,268.84"
08/05/2022,"2,256.57"
05/05/2022,"2,238.62"
04/05/2022,"2,275.68"
02/05/2022,"2,307.44"
28/04/2022,"2,356.20"
27/04/2022,"2,376.17"
26/04/2022,"2,370.99"
25/04/2022,"2,386.01"
24/04/2022,"2,420.91"
21/04/2022,"2,325.45"
20/04/2022,"2,320.51"
19/04/2022,"2,357.24"
18/04/2022,"2,343.87"
17/04/2022,"2,385.64"
13/04/2022,"2,415.24"
12/04/2022,"2,385.02"
11/04/2022,"2,419.71"
07/04/2022,"2,464.31"
06/04/2022,"2,428.75"
05/04/2022,"2,452.06"
04/04/2022,"2,497.47"
03/04/2022,"2,513.41"
31/03/2022,"2,544.30"
30/03/2022,"2,568.25"
29/03/2022,"2,527.58"
28/03/2022,"2,541.83"
27/03/2022,"2,572.23"
24/03/2022,"2,613.67"
23/03/2022,"2,630.36"
22/03/2022,"2,650.70"
21/03/2022,"2,634.57"
20/03/2022,"2,616.58"
16/03/2022,"2,631.32"
15/03/2022,"2,650.97"
